"Id","CustomerId","EmployeeId","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
10262,RATTC,8,"2012-07-22","2012-08-19","2012-07-25",3,48.29,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10263,ERNSH,9,"2012-07-23","2012-08-20","2012-07-31",3,146.06,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10264,FOLKO,6,"2012-07-24","2012-08-21","2012-08-23",3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10265,BLONP,2,"2012-07-25","2012-08-22","2012-08-12",1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,"67000",France
10266,WARTH,3,"2012-07-26","2012-09-06","2012-07-31",3,25.73,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10267,FRANK,4,"2012-07-29","2012-08-26","2012-08-06",1,208.58,Frankenversand,Berliner Platz 43,München,Western Europe,"80805",Germany
10268,GROSR,8,"2012-07-30","2012-08-27","2012-08-02",3,66.29,GROSELLA-Restaurante,"5ª Ave. Los Palos Grandes",Caracas,South America,"1081",Venezuela
10269,WHITC,5,"2012-07-31","2012-08-14","2012-08-09",1,4.56,White Clover Markets,"1029 - 12th Ave. S.",Seattle,North America,"98124",USA
10270,WARTH,1,"2012-08-01","2012-08-29","2012-08-02",1,136.54,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10271,SPLIR,6,"2012-08-01","2012-08-29","2012-08-30",2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,"82520",USA
10272,RATTC,6,"2012-08-02","2012-08-30","2012-08-06",2,98.03,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10273,QUICK,3,"2012-08-05","2012-09-02","2012-08-12",3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10274,VINET,6,"2012-08-06","2012-09-03","2012-08-16",1,6.01,Vins et alcools Chevalier,"59 rue de l'Abbaye",Reims,Western Europe,"51100",France
10275,MAGAA,1,"2012-08-07","2012-09-04","2012-08-09",1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,"24100",Italy
10276,TORTU,8,"2012-08-08","2012-08-22","2012-08-14",3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,"05033",Mexico
10277,MORGK,2,"2012-08-09","2012-09-06","2012-08-13",3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,Western Europe,"04179",Germany
10278,BERGS,8,"2012-08-12","2012-09-09","2012-08-16",2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10279,LEHMS,8,"2012-08-13","2012-09-10","2012-08-16",2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,"60528",Germany
10280,BERGS,2,"2012-08-14","2012-09-11","2012-09-12",1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10281,ROMEY,4,"2012-08-14","2012-08-28","2012-08-21",1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,"28001",Spain
10282,ROMEY,4,"2012-08-15","2012-09-12","2012-08-21",1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,"28001",Spain
10283,LILAS,3,"2012-08-16","2012-09-13","2012-08-23",3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,"3508",Venezuela
10284,LEHMS,4,"2012-08-19","2012-09-16","2012-08-27",1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,"60528",Germany
10285,QUICK,1,"2012-08-20","2012-09-17","2012-08-26",2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10286,QUICK,8,"2012-08-21","2012-09-18","2012-08-30",3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10287,RICAR,8,"2012-08-22","2012-09-19","2012-08-28",3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,"02389-890",Brazil
10288,REGGC,4,"2012-08-23","2012-09-20","2012-09-03",1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Southern Europe,"42100",Italy
10289,BSBEV,7,"2012-08-26","2012-09-23","2012-08-28",3,22.77,B's Beverages,Fauntleroy Circus,London,British Isles,EC2 5NT,UK
10290,COMMI,8,"2012-08-27","2012-09-24","2012-09-03",1,79.7,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,South America,"05432-043",Brazil
10291,QUEDE,6,"2012-08-27","2012-09-24","2012-09-04",2,6.4,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,"02389-673",Brazil
10292,TRADH,1,"2012-08-28","2012-09-25","2012-09-02",2,1.35,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,South America,"05634-030",Brazil
10293,TORTU,1,"2012-08-29","2012-09-26","2012-09-11",3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,"05033",Mexico
10294,RATTC,4,"2012-08-30","2012-09-27","2012-09-05",2,147.26,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10295,VINET,2,"2012-09-02","2012-09-30","2012-09-10",2,1.15,Vins et alcools Chevalier,"59 rue de l'Abbaye",Reims,Western Europe,"51100",France
10296,LILAS,6,"2012-09-03","2012-10-01","2012-09-11",1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,"3508",Venezuela
10297,BLONP,5,"2012-09-04","2012-10-16","2012-09-10",2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,"67000",France
10298,HUNGO,6,"2012-09-05","2012-10-03","2012-09-11",2,168.22,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,British Isles,,Ireland
10299,RICAR,4,"2012-09-06","2012-10-04","2012-09-13",2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,South America,"02389-890",Brazil
10300,MAGAA,2,"2012-09-09","2012-10-07","2012-09-18",2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,"24100",Italy
10301,WANDK,8,"2012-09-09","2012-10-07","2012-09-17",2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,"70563",Germany
10302,SUPRD,4,"2012-09-10","2012-10-08","2012-10-09",2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Western Europe,B-6000,Belgium
10303,GODOS,7,"2012-09-11","2012-10-09","2012-09-18",2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,Southern Europe,"41101",Spain
10304,TORTU,1,"2012-09-12","2012-10-10","2012-09-17",2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,"05033",Mexico
10305,OLDWO,8,"2012-09-13","2012-10-11","2012-10-09",3,257.62,Old World Delicatessen,"2743 Bering St.",Anchorage,North America,"99508",USA
10306,ROMEY,1,"2012-09-16","2012-10-14","2012-09-23",3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,Southern Europe,"28001",Spain
10307,LONEP,2,"2012-09-17","2012-10-15","2012-09-25",2,0.56,Lonesome Pine Restaurant,"89 Chiaroscuro Rd.",Portland,North America,"97219",USA
10308,ANATR,7,"2012-09-18","2012-10-16","2012-09-24",3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,Central America,"05021",Mexico
10309,HUNGO,3,"2012-09-19","2012-10-17","2012-10-23",1,47.3,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,British Isles,,Ireland
10310,THEBI,8,"2012-09-20","2012-10-18","2012-09-27",2,17.52,The Big Cheese,"89 Jefferson Way Suite 2",Portland,North America,"97201",USA
10311,DUMO,1,"2012-09-20","2012-10-04","2012-09-26",3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,Western Europe,"44000",France
10312,WANDK,2,"2012-09-23","2012-10-21","2012-10-03",2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,"70563",Germany
10313,QUICK,2,"2012-09-24","2012-10-22","2012-10-04",2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10314,RATTC,1,"2012-09-25","2012-10-23","2012-10-04",2,74.16,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10315,ISLAT,4,"2012-09-26","2012-10-24","2012-10-03",2,41.76,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10316,RATTC,1,"2012-09-27","2012-10-25","2012-10-08",3,150.15,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10317,LONEP,6,"2012-09-30","2012-10-28","2012-10-10",1,12.69,Lonesome Pine Restaurant,"89 Chiaroscuro Rd.",Portland,North America,"97219",USA
10318,ISLAT,8,"2012-10-01","2012-10-29","2012-10-04",2,4.73,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10319,TORTU,7,"2012-10-02","2012-10-30","2012-10-11",3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Central America,"05033",Mexico
10320,WARTH,5,"2012-10-03","2012-10-17","2012-10-18",3,34.57,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10321,ISLAT,3,"2012-10-03","2012-10-31","2012-10-11",2,3.43,Island Trading,Garden House Crowther Way,Cowes,British Isles,PO31 7PJ,UK
10322,PERIC,7,"2012-10-04","2012-11-01","2012-10-23",3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,"05033",Mexico
10323,KOENE,4,"2012-10-07","2012-11-04","2012-10-14",1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,"14776",Germany
10324,SAVEA,9,"2012-10-08","2012-11-05","2012-10-10",1,214.27,Save-a-lot Markets,"187 Suffolk Ln.",Boise,North America,"83720",USA
10325,KOENE,1,"2012-10-09","2012-10-23","2012-10-14",3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,Western Europe,"14776",Germany
10326,BOLID,4,"2012-10-10","2012-11-07","2012-10-14",2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,Southern Europe,"28023",Spain
10327,FOLKO,2,"2012-10-11","2012-11-08","2012-10-14",1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10328,FURIB,4,"2012-10-14","2012-11-11","2012-10-17",3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,"1675",Portugal
10329,SPLIR,4,"2012-10-15","2012-11-26","2012-10-23",2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,"82520",USA
10330,LILAS,3,"2012-10-16","2012-11-13","2012-10-28",1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,"3508",Venezuela
10331,BONAP,9,"2012-10-16","2012-11-27","2012-10-21",1,10.19,Bon app',"12, rue des Bouchers",Marseille,Western Europe,"13008",France
10332,MEREP,3,"2012-10-17","2012-11-28","2012-10-21",2,52.84,Mère Paillarde,"43 rue St. Laurent",Montréal,North America,H1J 1C3,Canada
10333,WARTH,5,"2012-10-18","2012-11-15","2012-10-25",3,0.59,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10334,VICTE,8,"2012-10-21","2012-11-18","2012-10-28",2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,Western Europe,"69004",France
10335,HUNGO,7,"2012-10-22","2012-11-19","2012-10-24",2,42.11,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,British Isles,,Ireland
10336,PRINI,7,"2012-10-23","2012-11-20","2012-10-25",2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,"1756",Portugal
10337,FRANK,4,"2012-10-24","2012-11-21","2012-10-29",3,108.26,Frankenversand,Berliner Platz 43,München,Western Europe,"80805",Germany
10338,OLDWO,4,"2012-10-25","2012-11-22","2012-10-29",3,84.21,Old World Delicatessen,"2743 Bering St.",Anchorage,North America,"99508",USA
10339,MEREP,2,"2012-10-28","2012-11-25","2012-11-04",2,15.66,Mère Paillarde,"43 rue St. Laurent",Montréal,North America,H1J 1C3,Canada
10340,BONAP,1,"2012-10-29","2012-11-26","2012-11-08",3,166.31,Bon app',"12, rue des Bouchers",Marseille,Western Europe,"13008",France
10341,SIMOB,7,"2012-10-29","2012-11-26","2012-11-05",3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,"1734",Denmark
10342,FRANK,4,"2012-10-30","2012-11-13","2012-11-04",2,54.83,Frankenversand,Berliner Platz 43,München,Western Europe,"80805",Germany
10343,LEHMS,4,"2012-10-31","2012-11-28","2012-11-06",1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Western Europe,"60528",Germany
10344,WHITC,4,"2012-11-01","2012-11-29","2012-11-05",2,23.29,White Clover Markets,"1029 - 12th Ave. S.",Seattle,North America,"98124",USA
10345,QUICK,2,"2012-11-04","2012-12-02","2012-11-11",2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10346,RATTC,3,"2012-11-05","2012-12-17","2012-11-08",3,142.08,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10347,FAMIA,4,"2012-11-06","2012-12-04","2012-11-08",3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,"05442-030",Brazil
10348,WANDK,4,"2012-11-07","2012-12-05","2012-11-15",2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,"70563",Germany
10349,SPLIR,7,"2012-11-08","2012-12-06","2012-11-15",1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,"82520",USA
10350,LAMAI,6,"2012-11-11","2012-12-09","2012-12-03",2,64.19,La maison d'Asie,"1 rue Alsace-Lorraine",Toulouse,Western Europe,"31000",France
10351,ERNSH,1,"2012-11-11","2012-12-09","2012-11-20",1,162.33,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10352,FURIB,3,"2012-11-12","2012-11-26","2012-11-18",3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Southern Europe,"1675",Portugal
10353,PICCO,7,"2012-11-13","2012-12-11","2012-11-25",3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,"5020",Austria
10354,PERIC,8,"2012-11-14","2012-12-12","2012-11-20",3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,Central America,"05033",Mexico
10355,AROUT,6,"2012-11-15","2012-12-13","2012-11-20",1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10356,WANDK,6,"2012-11-18","2012-12-16","2012-11-27",2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Western Europe,"70563",Germany
10357,LILAS,1,"2012-11-19","2012-12-17","2012-12-02",3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,"3508",Venezuela
10358,LAMAI,5,"2012-11-20","2012-12-18","2012-11-27",1,19.64,La maison d'Asie,"1 rue Alsace-Lorraine",Toulouse,Western Europe,"31000",France
10359,SEVES,5,"2012-11-21","2012-12-19","2012-11-26",3,288.43,Seven Seas Imports,"90 Wadhurst Rd.",London,British Isles,OX15 4NB,UK
10360,BLONP,4,"2012-11-22","2012-12-20","2012-12-02",3,131.7,Blondel père et fils,"24, place Kléber",Strasbourg,Western Europe,"67000",France
10361,QUICK,1,"2012-11-22","2012-12-20","2012-12-03",2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
10362,BONAP,3,"2012-11-25","2012-12-23","2012-11-28",1,96.04,Bon app',"12, rue des Bouchers",Marseille,Western Europe,"13008",France
10363,DRACD,4,"2012-11-26","2012-12-24","2012-12-04",3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,"52066",Germany
10364,EASTC,1,"2012-11-26","2013-01-07","2012-12-04",1,71.97,Eastern Connection,"35 King George",London,British Isles,WX3 6FW,UK
10365,ANTO,3,"2012-11-27","2012-12-25","2012-12-02",2,22,Antonio Moreno Taquería,Mataderos  2312,México D.F.,Central America,"05023",Mexico
10366,GALED,8,"2012-11-28","2013-01-09","2012-12-30",2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,Southern Europe,"8022",Spain
10367,VAFFE,7,"2012-11-28","2012-12-26","2012-12-02",3,13.55,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,"8200",Denmark
10368,ERNSH,2,"2012-11-29","2012-12-27","2012-12-02",2,101.95,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10369,SPLIR,8,"2012-12-02","2012-12-30","2012-12-09",2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,"82520",USA
10370,CHOPS,6,"2012-12-03","2012-12-31","2012-12-27",2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,Western Europe,"3012",Switzerland
10371,LAMAI,1,"2012-12-03","2012-12-31","2012-12-24",1,0.45,La maison d'Asie,"1 rue Alsace-Lorraine",Toulouse,Western Europe,"31000",France
10372,QUEE,5,"2012-12-04","2013-01-01","2012-12-09",2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,"05487-020",Brazil
10373,HUNGO,4,"2012-12-05","2013-01-02","2012-12-11",3,124.12,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,British Isles,,Ireland
10374,WOLZA,1,"2012-12-05","2013-01-02","2012-12-09",3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,Eastern Europe,"01-012",Poland
10375,HUNGC,3,"2012-12-06","2013-01-03","2012-12-09",2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,"97827",USA
10376,MEREP,1,"2012-12-09","2013-01-06","2012-12-13",2,20.39,Mère Paillarde,"43 rue St. Laurent",Montréal,North America,H1J 1C3,Canada
10377,SEVES,1,"2012-12-09","2013-01-06","2012-12-13",3,22.21,Seven Seas Imports,"90 Wadhurst Rd.",London,British Isles,OX15 4NB,UK
10378,FOLKO,5,"2012-12-10","2013-01-07","2012-12-19",3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,Northern Europe,S-844 67,Sweden
10379,QUEDE,2,"2012-12-11","2013-01-08","2012-12-13",1,45.03,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,South America,"02389-673",Brazil
10380,HUNGO,8,"2012-12-12","2013-01-09","2013-01-16",3,35.03,Hungry Owl All-Night Grocers,"8 Johnstown Road",Cork,British Isles,,Ireland
10381,LILAS,3,"2012-12-12","2013-01-09","2012-12-13",3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,South America,"3508",Venezuela
10382,ERNSH,4,"2012-12-13","2013-01-10","2012-12-16",1,94.77,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10383,AROUT,8,"2012-12-16","2013-01-13","2012-12-18",3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,British Isles,CO7 6JX,UK
10384,BERGS,3,"2012-12-16","2013-01-13","2012-12-20",3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,Northern Europe,S-958 22,Sweden
10385,SPLIR,1,"2012-12-17","2013-01-14","2012-12-23",2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,North America,"82520",USA
10386,FAMIA,9,"2012-12-18","2013-01-01","2012-12-25",3,13.99,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,"05442-030",Brazil
10387,SANTG,1,"2012-12-18","2013-01-15","2012-12-20",2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,Scandinavia,"4110",Norway
10388,SEVES,2,"2012-12-19","2013-01-16","2012-12-20",1,34.86,Seven Seas Imports,"90 Wadhurst Rd.",London,British Isles,OX15 4NB,UK
10389,BOTTM,4,"2012-12-20","2013-01-17","2012-12-24",2,47.42,Bottom-Dollar Markets,"23 Tsawassen Blvd.",Tsawassen,North America,T2F 8M4,Canada
10390,ERNSH,6,"2012-12-23","2013-01-20","2012-12-26",1,126.38,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10391,DRACD,3,"2012-12-23","2013-01-20","2012-12-31",3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,Western Europe,"52066",Germany
10392,PICCO,2,"2012-12-24","2013-01-21","2013-01-01",3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,Western Europe,"5020",Austria
10393,SAVEA,1,"2012-12-25","2013-01-22","2013-01-03",3,126.56,Save-a-lot Markets,"187 Suffolk Ln.",Boise,North America,"83720",USA
10394,HUNGC,1,"2012-12-25","2013-01-22","2013-01-03",3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,"97827",USA
10395,HILAA,6,"2012-12-26","2013-01-23","2013-01-03",1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,South America,"5022",Venezuela
10396,FRANK,1,"2012-12-27","2013-01-10","2013-01-06",3,135.35,Frankenversand,Berliner Platz 43,München,Western Europe,"80805",Germany
10397,PRINI,5,"2012-12-27","2013-01-24","2013-01-02",1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,Southern Europe,"1756",Portugal
10398,SAVEA,2,"2012-12-30","2013-01-27","2013-01-09",3,89.16,Save-a-lot Markets,"187 Suffolk Ln.",Boise,North America,"83720",USA
10399,VAFFE,8,"2012-12-31","2013-01-14","2013-01-08",3,27.36,Vaffeljernet,Smagsloget 45,Århus,Northern Europe,"8200",Denmark
10400,EASTC,1,"2013-01-01","2013-01-29","2013-01-16",3,83.93,Eastern Connection,"35 King George",London,British Isles,WX3 6FW,UK
10401,RATTC,1,"2013-01-01","2013-01-29","2013-01-10",1,12.51,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,North America,"87110",USA
10402,ERNSH,8,"2013-01-02","2013-02-13","2013-01-10",2,67.88,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10403,ERNSH,4,"2013-01-03","2013-01-31","2013-01-09",3,73.79,Ernst Handel,Kirchgasse 6,Graz,Western Europe,"8010",Austria
10404,MAGAA,2,"2013-01-03","2013-01-31","2013-01-08",1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Southern Europe,"24100",Italy
10405,LINOD,1,"2013-01-06","2013-02-03","2013-01-22",1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,South America,"4980",Venezuela
10406,QUEE,7,"2013-01-07","2013-02-18","2013-01-13",1,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,South America,"05487-020",Brazil
10407,OTTIK,2,"2013-01-07","2013-02-04","2013-01-30",2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,Western Europe,"50739",Germany
10408,FOLIG,8,"2013-01-08","2013-02-05","2013-01-14",1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,Western Europe,"59000",France
10409,OCEA,3,"2013-01-09","2013-02-06","2013-01-14",1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,South America,"1010",Argentina
10410,BOTTM,3,"2013-01-10","2013-02-07","2013-01-15",3,2.4,Bottom-Dollar Markets,"23 Tsawassen Blvd.",Tsawassen,North America,T2F 8M4,Canada
10411,BOTTM,9,"2013-01-10","2013-02-07","2013-01-21",3,23.65,Bottom-Dollar Markets,"23 Tsawassen Blvd.",Tsawassen,North America,T2F 8M4,Canada
10412,WARTH,8,"2013-01-13","2013-02-10","2013-01-15",2,3.77,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10413,LAMAI,3,"2013-01-14","2013-02-11","2013-01-16",2,95.66,La maison d'Asie,"1 rue Alsace-Lorraine",Toulouse,Western Europe,"31000",France
10414,FAMIA,2,"2013-01-14","2013-02-11","2013-01-17",3,21.48,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,South America,"05442-030",Brazil
10415,HUNGC,3,"2013-01-15","2013-02-12","2013-01-24",1,0.2,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,North America,"97827",USA
10416,WARTH,8,"2013-01-16","2013-02-13","2013-01-27",3,22.72,Wartian Herkku,Torikatu 38,Oulu,Scandinavia,"90110",Finland
10417,SIMOB,4,"2013-01-16","2013-02-13","2013-01-28",3,70.29,Simons bistro,Vinbæltet 34,Kobenhavn,Northern Europe,"1734",Denmark
10418,QUICK,4,"2013-01-17","2013-02-14","2013-01-24",1,17.55,QUICK-Stop,Taucherstraße 10,Cunewalde,Western Europe,"01307",Germany
